epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.291,1.52073,2.27556,1.6332,0.61692,0.55323,0.59522,0.30304,1.74191,1.98867,1.74124,0.0670353,0.000332977,0.000332977
2,304.384,1.44793,1.79175,1.57353,0.72716,0.63777,0.72518,0.41446,1.56162,1.50878,1.58955,0.0340287,0.000659714,0.000659714
3,452.44,1.39953,1.6227,1.51886,0.83894,0.73508,0.82626,0.44991,1.60753,1.39172,1.56655,0.00101546,0.000979851,0.000979851
4,602.811,1.35404,1.46226,1.48416,0.77998,0.8286,0.85526,0.46494,1.60564,1.10243,1.57797,0.0009703,0.0009703,0.0009703
5,749.907,1.29664,1.33783,1.43916,0.87219,0.82272,0.87572,0.47239,1.64852,1.11971,1.61849,0.0009604,0.0009604,0.0009604
6,897.104,1.26757,1.25894,1.42044,0.89948,0.84115,0.90352,0.52948,1.52854,0.99255,1.49786,0.0009505,0.0009505,0.0009505
7,1045.15,1.24579,1.19776,1.40101,0.83651,0.83541,0.87207,0.48911,1.57198,1.03307,1.52518,0.0009406,0.0009406,0.0009406
8,1191.35,1.20643,1.13595,1.37065,0.89431,0.81921,0.8881,0.54975,1.37807,0.8931,1.41489,0.0009307,0.0009307,0.0009307
9,1338.02,1.1895,1.09567,1.35728,0.91168,0.8775,0.92374,0.5942,1.30102,0.75943,1.36795,0.0009208,0.0009208,0.0009208
10,1486.38,1.18159,1.07485,1.34815,0.90011,0.88544,0.92254,0.58264,1.36268,0.78742,1.38253,0.0009109,0.0009109,0.0009109
11,1635.94,1.1574,1.04471,1.33268,0.92194,0.85696,0.92674,0.5662,1.37713,0.7824,1.40225,0.000901,0.000901,0.000901
12,1782.98,1.12791,0.98511,1.30854,0.91645,0.88962,0.93992,0.59678,1.31861,0.74493,1.33978,0.0008911,0.0008911,0.0008911
13,1929.62,1.1138,0.96358,1.29795,0.92597,0.9011,0.94264,0.56798,1.42053,0.73288,1.41153,0.0008812,0.0008812,0.0008812
14,2074.9,1.10232,0.93526,1.28726,0.93391,0.89344,0.9445,0.62929,1.21548,0.68221,1.29412,0.0008713,0.0008713,0.0008713
15,2222.89,1.09406,0.92171,1.28364,0.93349,0.91279,0.94784,0.61058,1.31533,0.67712,1.3576,0.0008614,0.0008614,0.0008614
16,2370.84,1.08445,0.90765,1.27656,0.94749,0.91112,0.9484,0.60028,1.35565,0.69731,1.37919,0.0008515,0.0008515,0.0008515
17,2522.6,1.06071,0.88536,1.26484,0.94295,0.90205,0.94602,0.61929,1.28475,0.67666,1.31584,0.0008416,0.0008416,0.0008416
18,2670.96,1.05429,0.86607,1.25749,0.94816,0.89751,0.95254,0.64786,1.21497,0.63921,1.28772,0.0008317,0.0008317,0.0008317
19,2816.26,1.04024,0.8421,1.24824,0.94416,0.91479,0.94393,0.61222,1.29402,0.66312,1.33821,0.0008218,0.0008218,0.0008218
20,2964.53,1.03686,0.83903,1.24859,0.92164,0.92169,0.95123,0.61872,1.28092,0.6397,1.33333,0.0008119,0.0008119,0.0008119
21,3112.33,1.02458,0.83251,1.24268,0.93007,0.92923,0.95246,0.64282,1.21579,0.6025,1.30565,0.000802,0.000802,0.000802
